"datasetName","decimalLongitude","decimalLatitude","depth","scientificName"
"gbif",-79.65183,0.995125,NA,"Eretmochelys imbricata"
"gbif",153.1,-26.4,NA,"Eretmochelys imbricata"
"gbif",153.019375,-25.188791,NA,"Eretmochelys imbricata"
"gbif",-89.517028,21.344016,NA,"Eretmochelys imbricata"
"gbif",169.828355,10.249514,NA,"Eretmochelys imbricata"
"gbif",-79.663685,0.98898,NA,"Eretmochelys imbricata"
"gbif",-79.654086,0.994122,NA,"Eretmochelys imbricata"
"gbif",39.78024,-7.832126,NA,"Eretmochelys imbricata"
"gbif",145.668198,15.186832,NA,"Eretmochelys imbricata"
"gbif",-41.489179,-2.945338,NA,"Eretmochelys imbricata"
"gbif",-86.443167,16.395678,NA,"Eretmochelys imbricata"
"gbif",169.963833,10.300912,NA,"Eretmochelys imbricata"
"gbif",-97.140708,15.873158,NA,"Eretmochelys imbricata"
"gbif",72.896269,4.071495,NA,"Eretmochelys imbricata"
"gbif",72.85497,4.082869,NA,"Eretmochelys imbricata"
"gbif",120.950005,13.741593,NA,"Eretmochelys imbricata"
"gbif",-81.309223,19.449431,NA,"Eretmochelys imbricata"
"gbif",-81.001655,-2.196885,NA,"Eretmochelys imbricata"
"gbif",-59.574477,13.054656,NA,"Eretmochelys imbricata"
"gbif",127.293609,26.320485,NA,"Eretmochelys imbricata"
"gbif",-59.470663,13.167488,NA,"Eretmochelys imbricata"
"gbif",-86.504998,21.426373,NA,"Eretmochelys imbricata"
"gbif",167.17753,11.497902,NA,"Eretmochelys imbricata"
"gbif",167.027715,11.444612,NA,"Eretmochelys imbricata"
"gbif",-111.482898,26.395428,NA,"Eretmochelys imbricata"
"gbif",-80.038109,25.749493,NA,"Eretmochelys imbricata"
"gbif",-81.603356,4.004453,24,"Eretmochelys imbricata"
"gbif",-81.452856,19.325589,NA,"Eretmochelys imbricata"
"gbif",-81.304797,19.223326,NA,"Eretmochelys imbricata"
"gbif",-81.002851,-2.193149,NA,"Eretmochelys imbricata"
"gbif",-102.312832,17.898398,NA,"Eretmochelys imbricata"
"gbif",55.863526,-4.499689,NA,"Eretmochelys imbricata"
"gbif",167.935829,-21.771579,NA,"Eretmochelys imbricata"
"gbif",-65.88268,18.044545,NA,"Eretmochelys imbricata"
"gbif",-87.0254,20.6306,5.79,"Eretmochelys imbricata"
"gbif",117.455144,-8.38371,NA,"Eretmochelys imbricata"
"gbif",-81.418588,19.369229,NA,"Eretmochelys imbricata"
"gbif",130.435559,-0.202128,NA,"Eretmochelys imbricata"
"gbif",55.590481,-4.673647,NA,"Eretmochelys imbricata"
"gbif",152.580842,-23.99697,NA,"Eretmochelys imbricata"
